FL_DATE,OP_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN,DEST,DEP_TIME,ARR_TIME,ORIGIN_WIND_SPEED,ORIGIN_VISIBILITIES,DEST_WIND_SPEED,DEST_VISIBILITIES
2019-01-03,19930,1039,LAX,SEA,1257,1541,,,14.95,10.00
2019-01-03,19930,1007,LAX,SEA,456,742,0.00,10.00,4.60,5.00
2019-01-03,19805,2312,SEA,MIA,1155,2052,9.20,10.00,5.75,10.00
2019-01-03,19930,894,HNL,SEA,1203,1931,,,14.95,10.00
2019-01-03,19930,893,SEA,HNL,1752,2217,13.80,10.00,,
2019-01-03,19930,864,HNL,SEA,1434,2234,,,14.95,8.00
2019-01-03,19930,860,HNL,SEA,40,811,,,5.75,5.00
2019-01-03,19930,859,SEA,HNL,705,1132,5.75,3.50,,
2019-01-03,19930,851,SEA,HNL,1134,1605,10.35,10.00,,
2019-01-03,19930,774,SEA,AUS,1910,59,12.65,10.00,6.90,2.00
2019-01-03,19930,1610,SEA,LAX,1710,1955,13.80,9.00,3.45,10.00
2019-01-03,19930,551,LAX,SEA,1036,1322,4.60,10.00,13.80,10.00
2019-01-03,19930,1005,AUS,SEA,1953,2230,0.00,10.00,14.95,9.00
2019-01-03,19930,1736,SEA,LAX,2201,43,23.00,10.00,10.35,10.00
2019-01-03,20304,5475,LAX,SEA,1457,1745,4.60,10.00,14.95,10.00
2019-01-03,19930,1754,SEA,LAX,559,848,4.60,3.00,3.45,10.00
2019-01-03,19930,467,LAX,SEA,1930,2210,0.00,10.00,17.25,10.00
2019-01-03,19805,2312,MIA,SEA,657,1051,6.90,10.00,13.80,10.00
2019-01-03,19690,28,HNL,SEA,2229,550,,,3.45,3.00
2019-01-03,19690,27,SEA,HNL,1110,1533,11.50,10.00,,
2019-01-03,19690,22,HNL,SEA,1518,2251,,,11.50,9.00
2019-01-03,19690,21,SEA,HNL,834,1316,6.90,3.50,,
2019-01-03,20409,464,SEA,JFK,1314,2116,12.65,10.00,6.90,10.00
2019-01-03,20409,264,SEA,JFK,2217,622,19.55,10.00,6.90,10.00
2019-01-03,20409,263,JFK,SEA,1737,2107,14.95,10.00,21.85,10.00
2019-01-03,20409,63,JFK,SEA,843,1202,13.80,10.00,9.20,10.00
2019-01-03,20304,5608,LAX,SEA,815,1137,5.75,10.00,10.35,10.00
2019-01-03,20304,5384,SEA,LAX,1204,1453,10.35,10.00,4.60,10.00
2019-01-03,20304,5191,SEA,LAX,1853,2145,16.10,10.00,8.05,10.00
2019-01-03,19930,1797,LAX,SEA,1750,2034,8.05,10.00,13.80,10.00
2019-01-03,19930,1784,SEA,LAX,1010,1249,11.50,9.00,0.00,10.00
2019-01-03,19930,1781,LAX,SEA,750,1102,5.75,10.00,12.65,10.00
2019-01-03,19930,1780,SEA,LAX,655,938,6.90,4.00,4.60,10.00
2019-01-03,19930,1774,SEA,LAX,1812,2053,16.10,10.00,6.90,10.00
2019-01-03,19930,1756,SEA,LAX,920,1154,6.90,2.50,4.60,10.00
2019-01-03,19930,1746,SEA,LAX,2215,55,19.55,10.00,10.35,10.00
2019-01-03,19930,453,LAX,SEA,653,948,,,10.35,10.00
2019-01-03,19790,2190,SEA,LAX,1120,1350,11.50,10.00,3.45,10.00
2019-01-03,19930,439,LAX,SEA,1535,1826,4.60,10.00,13.80,10.00
2019-01-03,19790,2205,JFK,SEA,1547,1901,16.10,10.00,14.95,10.00
2019-01-03,19790,1947,HNL,SEA,1403,2137,,,21.85,10.00
2019-01-03,19790,1906,LAX,SEA,753,1033,5.75,10.00,13.80,10.00
2019-01-03,19790,1665,SEA,LAX,1342,1612,14.95,7.00,0.00,10.00
2019-01-03,19790,1652,SEA,LAX,1706,1942,16.10,8.00,0.00,10.00
2019-01-03,19790,1574,SEA,LAX,1207,1455,10.35,10.00,4.60,10.00
2019-01-03,19790,1568,SEA,HNL,802,1248,5.75,4.00,,
2019-01-03,19790,1538,LAX,SEA,959,1245,5.75,10.00,9.20,10.00
2019-01-03,19790,1349,LAX,SEA,1500,1731,3.45,10.00,14.95,10.00
2019-01-03,19790,1256,LAX,SEA,1714,1948,5.75,10.00,23.00,10.00
2019-01-03,19790,1181,LAX,SEA,2046,2315,5.75,10.00,18.40,5.00
2019-01-03,19790,1098,SEA,LAX,757,1041,8.05,3.50,3.45,10.00
2019-01-03,19790,702,SEA,LAX,1853,2125,16.10,10.00,8.05,10.00
2019-01-03,19790,667,SEA,AUS,1228,1823,6.90,10.00,0.00,10.00
2019-01-03,19790,667,AUS,SEA,1921,2204,0.00,10.00,19.55,10.00
2019-01-03,19790,377,LAX,SEA,1935,2231,3.45,10.00,14.95,9.00
2019-01-03,19790,129,LAX,SEA,1103,1341,0.00,10.00,14.95,7.00
2019-01-03,19790,128,SEA,LAX,931,1209,8.05,6.00,0.00,10.00
2019-01-03,19930,444,SEA,LAX,1938,2214,19.55,10.00,9.20,10.00
2019-01-03,19790,2218,HNL,SEA,2307,642,,,8.05,3.00
2019-01-03,19790,2218,SEA,JFK,748,1548,6.90,4.00,19.55,10.00
2019-01-03,19790,1380,LAX,SEA,1258,1536,0.00,10.00,12.65,10.00
2019-01-03,19790,2590,SEA,JFK,2307,708,14.95,5.00,10.35,10.00
2019-01-03,19790,2266,SEA,LAX,1527,1803,11.50,10.00,5.75,10.00
2019-01-03,19930,428,SEA,LAX,1456,1730,13.80,10.00,5.75,10.00
2019-01-03,19930,426,SEA,JFK,738,1537,4.60,5.00,19.55,10.00
2019-01-03,19930,424,SEA,LAX,1425,1712,,,4.60,10.00
2019-01-03,19930,359,JFK,SEA,5,334,,,6.90,1.00
2019-01-03,19930,349,JFK,SEA,1042,1402,19.55,10.00,11.50,6.00
2019-01-03,19930,220,SEA,LAX,458,735,5.75,3.00,4.60,10.00
2019-01-03,19930,163,AUS,SEA,614,844,8.05,3.50,8.05,5.00
2019-01-03,19930,18,SEA,JFK,2204,611,19.55,10.00,3.45,10.00
2019-01-03,19805,1471,SEA,MIA,2125,602,18.40,10.00,6.90,10.00
2019-01-03,19930,432,SEA,LAX,1140,1425,9.20,10.00,4.60,10.00
2019-01-03,19805,2522,SEA,JFK,742,1552,4.60,5.00,19.55,10.00
2019-01-03,19805,305,MIA,SEA,2008,2329,3.45,10.00,19.55,6.00
2019-01-03,19977,1822,LAX,SEA,1934,2222,3.45,10.00,19.55,9.00
2019-01-03,19977,2340,SEA,LAX,555,834,3.45,3.00,5.75,10.00
2019-01-03,19790,2970,JFK,SEA,1842,2201,14.95,10.00,23.00,10.00
2019-01-03,19790,2965,SEA,JFK,1302,2055,11.50,9.00,6.90,10.00
2019-01-03,19790,2961,JFK,SEA,656,1040,6.90,10.00,13.80,10.00
2019-01-03,19790,2904,SEA,HNL,1730,2152,14.95,10.00,,
2019-01-03,19805,1445,JFK,SEA,1832,2159,17.25,10.00,23.00,10.00
2019-01-04,19930,864,HNL,SEA,1441,2233,,,5.75,10.00
2019-01-04,19930,453,LAX,SEA,649,1004,3.45,10.00,24.15,10.00
2019-01-04,19930,467,LAX,SEA,1931,2213,3.45,10.00,,
2019-01-04,19930,551,LAX,SEA,1034,1320,3.45,10.00,10.35,10.00
2019-01-04,19930,860,HNL,SEA,2336,740,,,13.80,10.00
2019-01-04,19930,851,SEA,HNL,1136,1545,16.10,10.00,,
2019-01-04,19930,859,SEA,HNL,705,1116,17.25,10.00,,
2019-01-04,19930,444,SEA,LAX,1939,2217,0.00,10.00,9.20,10.00
2019-01-04,19930,774,SEA,AUS,1746,2345,5.75,10.00,3.45,10.00
2019-01-04,19930,439,LAX,SEA,1532,1818,3.45,10.00,5.75,10.00
2019-01-04,19930,349,JFK,SEA,1037,1359,17.25,10.00,12.65,7.00
2019-01-04,19930,426,SEA,JFK,736,1533,12.65,10.00,14.95,10.00
2019-01-04,19930,424,SEA,LAX,1357,1644,11.50,10.00,4.60,10.00
2019-01-04,19930,359,JFK,SEA,1834,2201,10.35,10.00,4.60,10.00
2019-01-04,19930,220,SEA,LAX,502,746,16.10,10.00,6.90,10.00
2019-01-04,19930,163,AUS,SEA,637,910,0.00,10.00,18.40,10.00
2019-01-04,19930,18,SEA,JFK,2155,557,3.45,10.00,9.20,10.00
2019-01-04,20304,5608,LAX,SEA,813,1119,5.75,10.00,13.80,10.00
2019-01-04,20304,5475,LAX,SEA,1500,1725,4.60,10.00,6.90,10.00
2019-01-04,19930,432,SEA,LAX,1144,1430,16.10,10.00,4.60,10.00
2019-01-04,19930,893,SEA,HNL,1747,2159,5.75,10.00,,
2019-01-04,20304,5384,SEA,LAX,1200,1457,13.80,10.00,3.45,10.00
2019-01-04,19930,1005,AUS,SEA,1909,2131,0.00,10.00,5.75,10.00
2019-01-04,19930,1797,LAX,SEA,1739,2015,4.60,10.00,5.75,10.00
2019-01-04,19930,1784,SEA,LAX,1005,1254,24.15,10.00,3.45,10.00
2019-01-04,19930,1781,LAX,SEA,806,1058,3.45,10.00,20.70,10.00
2019-01-04,19930,1780,SEA,LAX,654,940,14.95,10.00,0.00,10.00
2019-01-04,19930,1774,SEA,LAX,1814,2110,5.75,10.00,9.20,10.00
2019-01-04,19930,1760,SEA,LAX,753,1057,12.65,10.00,5.75,10.00
2019-01-04,19930,1756,SEA,LAX,850,1149,17.25,10.00,3.45,10.00
2019-01-04,19930,1754,SEA,LAX,550,907,16.10,10.00,4.60,10.00
2019-01-04,19930,1746,SEA,LAX,2049,2344,,,10.35,10.00
2019-01-04,19930,1736,SEA,LAX,2153,51,3.45,10.00,11.50,10.00
2019-01-04,19930,1610,SEA,LAX,1708,2008,9.20,10.00,4.60,10.00
2019-01-04,19930,1144,SEA,AUS,1209,1801,20.70,10.00,3.45,10.00
2019-01-04,19930,1047,LAX,SEA,2327,159,10.35,10.00,16.10,10.00
2019-01-04,19930,1043,LAX,SEA,1636,1916,5.75,10.00,0.00,10.00
2019-01-04,19930,1041,LAX,SEA,1417,1657,4.60,10.00,8.05,10.00
2019-01-04,19930,1039,LAX,SEA,1302,1531,0.00,10.00,11.50,9.00
2019-01-04,19930,1031,LAX,SEA,948,1257,0.00,10.00,13.80,10.00
2019-01-04,19930,1013,LAX,SEA,552,842,4.60,10.00,17.25,10.00
2019-01-04,19930,1007,LAX,SEA,454,739,9.20,10.00,13.80,10.00
2019-01-04,19930,894,HNL,SEA,1158,1942,,,0.00,10.00
2019-01-04,20304,5191,SEA,LAX,1844,2159,4.60,10.00,8.05,10.00
2019-01-04,19977,2340,SEA,LAX,553,844,17.25,10.00,5.75,10.00
2019-01-04,19805,1445,JFK,SEA,1834,2204,10.35,10.00,6.90,10.00
2019-01-04,19790,128,SEA,LAX,928,1204,16.10,10.00,3.45,10.00
2019-01-04,19790,2970,JFK,SEA,1840,2215,9.20,10.00,,
2019-01-04,19790,2965,SEA,JFK,1303,2057,13.80,10.00,8.05,10.00
2019-01-04,19790,2961,JFK,SEA,656,1024,10.35,10.00,20.70,10.00
2019-01-04,19790,2904,SEA,HNL,1725,2137,6.90,10.00,,
2019-01-04,19790,2590,SEA,JFK,2315,712,4.60,10.00,12.65,10.00
2019-01-04,19790,2266,SEA,LAX,1529,1812,11.50,9.00,3.45,10.00
2019-01-04,19790,2218,SEA,JFK,745,1547,12.65,10.00,13.80,10.00
2019-01-04,19790,129,LAX,SEA,1106,1334,3.45,10.00,12.65,10.00
2019-01-04,19790,2218,HNL,SEA,139,926,,,17.25,10.00
2019-01-04,19790,2190,SEA,LAX,1110,1350,14.95,10.00,3.45,10.00
2019-01-04,19977,1822,LAX,SEA,1948,2217,0.00,10.00,,
2019-01-04,19805,1471,SEA,MIA,2126,603,5.75,10.00,4.60,10.00
2019-01-04,19805,2312,SEA,MIA,1150,2050,14.95,10.00,5.75,10.00
